longitude,latitude,housing_me,total_room,total_bedr,population,households,median_inc,median_hou,Co_name
-120.230000000000004,39.560000000000002,14.000000000000000,1781.000000000000000,346.000000000000000,734.000000000000000,287.000000000000000,2.460000000000000,93000.000000000000000,Sierra
-120.239999999999995,39.670000000000002,52.000000000000000,296.000000000000000,63.000000000000000,143.000000000000000,56.000000000000000,3.625000000000000,68600.000000000000000,Sierra
-120.239999999999995,39.670000000000002,40.000000000000000,690.000000000000000,129.000000000000000,305.000000000000000,110.000000000000000,2.362500000000000,62500.000000000000000,Sierra
-120.480000000000004,39.659999999999997,32.000000000000000,1516.000000000000000,289.000000000000000,304.000000000000000,131.000000000000000,1.883900000000000,71000.000000000000000,Sierra
-121.060000000000002,38.509999999999998,6.000000000000000,6873.000000000000000,959.000000000000000,2354.000000000000000,931.000000000000000,6.886900000000000,263100.000000000000000,Sacramento
-121.099999999999994,38.329999999999998,14.000000000000000,1357.000000000000000,247.000000000000000,695.000000000000000,224.000000000000000,4.197400000000000,157800.000000000000000,Sacramento
-121.129999999999995,38.659999999999997,2.000000000000000,12360.000000000000000,1747.000000000000000,4438.000000000000000,1470.000000000000000,6.250300000000000,222500.000000000000000,Sacramento
-121.129999999999995,38.469999999999999,16.000000000000000,2574.000000000000000,441.000000000000000,1041.000000000000000,428.000000000000000,3.664500000000000,203400.000000000000000,Sacramento
-121.129999999999995,38.369999999999997,10.000000000000000,1034.000000000000000,153.000000000000000,478.000000000000000,155.000000000000000,7.032600000000000,241100.000000000000000,Sacramento
-121.170000000000002,38.710000000000001,15.000000000000000,3084.000000000000000,557.000000000000000,1040.000000000000000,562.000000000000000,2.518300000000000,293300.000000000000000,Sacramento
-121.170000000000002,38.689999999999998,5.000000000000000,7138.000000000000000,1227.000000000000000,2623.000000000000000,1139.000000000000000,5.690200000000000,243200.000000000000000,Sacramento
-121.170000000000002,38.680000000000000,37.000000000000000,1252.000000000000000,267.000000000000000,686.000000000000000,256.000000000000000,3.000000000000000,121900.000000000000000,Sacramento
